Timestamp,pc-c220m4-r04-19.wisc.cloudlab.us last hour   
2015-11-03T23:23:15-06:00,455.96293333
2015-11-03T23:23:30-06:00,612.71189333
2015-11-03T23:23:45-06:00,612.71189333
2015-11-03T23:24:00-06:00,947.6605
2015-11-03T23:24:15-06:00,543.9805
2015-11-03T23:24:30-06:00,879.67604667
2015-11-03T23:24:45-06:00,783.7133
2015-11-03T23:25:00-06:00,673.2302
2015-11-03T23:25:15-06:00,879.9986
2015-11-03T23:25:30-06:00,857.29106667
2015-11-03T23:25:45-06:00,1139.7219133
2015-11-03T23:26:00-06:00,1135.3803
2015-11-03T23:26:15-06:00,962.04966667
2015-11-03T23:26:30-06:00,891.04096
2015-11-03T23:26:45-06:00,942.35156
2015-11-03T23:27:00-06:00,795.78455333
2015-11-03T23:27:15-06:00,1056.74934
2015-11-03T23:27:30-06:00,940.48519333
2015-11-03T23:27:45-06:00,814.65588667
2015-11-03T23:28:00-06:00,685.35034667
2015-11-03T23:28:15-06:00,810.06715333
2015-11-03T23:28:30-06:00,533.69663333
2015-11-03T23:28:45-06:00,702.91489333
2015-11-03T23:29:00-06:00,746.16507333
2015-11-03T23:29:15-06:00,1236.7699333
2015-11-03T23:29:30-06:00,6734.5263067
2015-11-03T23:29:45-06:00,1221.4672467
2015-11-03T23:30:00-06:00,564.59878667
2015-11-03T23:30:15-06:00,773.27614
2015-11-03T23:30:30-06:00,889.97491333
2015-11-03T23:30:45-06:00,746.35562667
2015-11-03T23:31:00-06:00,835.6892
2015-11-03T23:31:15-06:00,840.0064
2015-11-03T23:31:30-06:00,871.6782
2015-11-03T23:31:45-06:00,625.56688
2015-11-03T23:32:00-06:00,771.7335
2015-11-03T23:32:15-06:00,768.25776667
2015-11-03T23:32:30-06:00,3626.30886
2015-11-03T23:32:45-06:00,837.75087333
2015-11-03T23:33:00-06:00,672.29134667
2015-11-03T23:33:15-06:00,695.9928
2015-11-03T23:33:30-06:00,719.7139
2015-11-03T23:33:45-06:00,702.7991
2015-11-03T23:34:00-06:00,468.48212667
2015-11-03T23:34:15-06:00,503.95803333
2015-11-03T23:34:30-06:00,650.52916
2015-11-03T23:34:45-06:00,552.5242
2015-11-03T23:35:00-06:00,838.67460667
2015-11-03T23:35:15-06:00,497.85060667
2015-11-03T23:35:30-06:00,1182.59066
2015-11-03T23:35:45-06:00,655.3851
2015-11-03T23:36:00-06:00,507.51684
2015-11-03T23:36:15-06:00,697.55025333
2015-11-03T23:36:30-06:00,921.83382
2015-11-03T23:36:45-06:00,736.75534667
2015-11-03T23:37:00-06:00,769.59626667
2015-11-03T23:37:15-06:00,596.2337
2015-11-03T23:37:30-06:00,NaN
2015-11-03T23:37:45-06:00,NaN
